link,organism_biosamp,Generational_Structure,Generational_Structure_citation,Generational_Structure_citationOG,ReturnToSpawningGround,ReturnToSpawningGround_citation,ReturnToSpawningGround_citationOG,Spawning_mode,Spawning_mode_citation,Spawning_mode_citationOG,Larval_feeding,Larval_feeding_citation,Larval_feeding_citationOG,isPlanktonic_atanypoint,isPlanktonic_atanypoint_citation,isPlanktonic_atanypoint_citationOG,isBenthic,PLD_point2,PLD_point_citation,PLD_point_citationOG,Body_Size,Body_Size_citation,Body_Size_citationOG,Fecundity_EggSize,Fecundity_EggSize_citation,Fecundity_EggSize_citationOG
PRJNA544861_Porites-compressa,Porites compressa,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,97,"Histological Analysis of Reproductive Trends of Three Porites Species from Kane'ohe Bay, Hawai'i",P,128,,TRUE,165,"Histological Analysis of Reproductive Trends of Three Porites Species from Kane'ohe Bay, Hawai'i",S,3,194,https://doi.org/10.3389/fmars.2017.00381,123,123,"Hunter, C. L. (1988) Genotypic Diversity and Population Structure of the Hawaiian Reef Coral, Porites Compressa. University of Hawaii",0.13,280,"Neves, E.G., 2000. Histological analysis of reproductive trends of three Porites species from Kane'ohe Bay, Hawai'i."
PRJNA493660_Pygoscelis-adeliae,Pygoscelis adeliae,I,30,DOI: 10.2305/IUCN.UK.2020-3.RLTS.T22697758A157660553.en,TRUE,43,10.1111/mec.14896,N,92,NA,N,114,,FALSE,NA,,S,0,NA,,70,70,10.1086/419312,80,114,10.1086/419312
PRJNA493660_Pygoscelis-antarcticus,Pygoscelis antarcticus,I,31,10.2305/IUCN.UK.2020-3.RLTS.T22697761A184807209.en,TRUE,43,10.1111/mec.14896,N,98,NA,N,114,,FALSE,NA,,S,0,NA,,75,75,10.1086/419312,80,114,10.1086/419312
PRJNA493660_Pygoscelis-papua,Pygoscelis papua,I,32,10.2305/IUCN.UK.2020-3.RLTS.T22697755A157664581.en,TRUE,43,10.1111/mec.14896,N,98,NA,N,114,,FALSE,NA,,S,0,NA,,90,90,10.1086/419312,80,114,10.1086/419312
PRJNA573759_Pyroteuthis-margaritifera,Pyroteuthis margaritifera,S,10,10.1016/j.cub.2015.02.018,NA,NA,,I,99,https://www.sealifebase.ca/summary/Pyroteuthis-margaritifera.html,P,136,,TRUE,TSCMDesr?,https://www.sealifebase.ca/summary/Pyroteuthis-margaritifera.html,N,0,195,https://doi.org/10.1016/j.dsr.2020.103222,3,3,Species composition and food habits of the micronektonic cephalopod assemblage in the eastern Gulf of Mexico.,0.9,281,https://animalia.bio/pterygioteuthis-microlampas
PRJNA480308_Rhizophora-mangle,Rhizophora mangle,I,33,https://www.cabi.org/isc/datasheet/47509,FALSE,NA,,I,KdBN0Ux4?,https://www.cabi.org/isc/datasheet/47509,L,137,,TRUE,NA,,S,182.5,NA,,2400,2400,wikipedia,25,282,https://www.sdnhm.org/oceanoasis/fieldguide/rhiz-man.html
PRJNA553831_Robustosergia-robusta,Robustosergia robusta,S,1,10.3389/fmars.2020.00019,FALSE,NA,,I,1,10.3389/fmars.2020.00019,P,1,,TRUE,1,https://doi.org/10.3389/fmars.2020.00019,N,0,1,https://doi.org/10.3389/fmars.2020.00019,0.5,0.5,10.1371/journal.pone.0112057.g001,NA,283,NA
PRJNA549138_Sargassum-muticum,Sargassum muticum,I,NA,,FALSE,NA,,I,100,10.1007/s10811-015-0580-y,N,138,,TRUE,NA,,S,NA,196,zygotes settle near to parents but rafting can be extensive ,1600,1600,"https://www.seaweed.ie/sargassum/#:~:text=Sargassum%20muticum%20is%20usually%201,span%20of%203%2D4%20years.",NA,283,NA
PRJNA253681_Scomber-scombrus,Scomber scombrus,I,NA,,TRUE,53,10.1111/fog.12242,F,101,Fishbase 2000,P,139,,TRUE,166,https://doi.org/10.1086/409937,N,0,197,Larvae aged up to 186 days in: Models describing mackerel (Scomber scombrus) early life growth in the North and Northwest of the Iberian Peninsula in 2000,50,50,10.1594/PANGAEA.900866,1.15,218,10.1594/PANGAEA.900866
PRJNA560239_Sebastes-diaconus,Sebastes diaconus,I,34,"Wourms, J.P., 1991. Reproduction and development of Sebastes in the context of the evolution of piscine viviparity. Environmental Biology of Fishes, 30, pp.111-126.",FALSE,NA,,I,102,Reproduction and development of Sebastes in the context of the evolution of piscine viviparity,P,140,,TRUE,167,DOI: 10.1007/BF02296882,S,135,198,"3-6 months of larval stage and planktonic juvenile stage for rockfishes in general: Love, M.S., Yoklavich, M. and Thorsteinson, L.K., 2002. The rockfishes of the northeast Pacific. Univ of California Press.",33,33,10.1002/ece3.5763,NA,284,viviparous
PRJNA451040_Sebastes-paucispinis,Sebastes paucispinis,I,34,"Wourms, J.P., 1991. Reproduction and development of Sebastes in the context of the evolution of piscine viviparity. Environmental Biology of Fishes, 30, pp.111-126.",FALSE,NA,,I,102,Reproduction and development of Sebastes in the context of the evolution of piscine viviparity,P,141,,TRUE,167,DOI: 10.1007/BF02296882,S,135,199,"3-6 months of larval stage and planktonic juvenile stage for rockfishes in general: Love, M.S., Yoklavich, M. and Thorsteinson, L.K., 2002. The rockfishes of the northeast Pacific. Univ of California Press.",91,91,10.1594/PANGAEA.900866,NA,285,viviparous
PRJNA451040_Sebastes-pinniger,Sebastes pinniger,I,34,"Wourms, J.P., 1991. Reproduction and development of Sebastes in the context of the evolution of piscine viviparity. Environmental Biology of Fishes, 30, pp.111-126.",FALSE,NA,,I,102,Reproduction and development of Sebastes in the context of the evolution of piscine viviparity,P,141,,TRUE,167,DOI: 10.1007/BF02296882,S,135,198,"3-6 months of larval stage and planktonic juvenile stage for rockfishes in general: Love, M.S., Yoklavich, M. and Thorsteinson, L.K., 2002. The rockfishes of the northeast Pacific. Univ of California Press.",76,76,10.1594/PANGAEA.900866,NA,284,viviparous
PRJNA316872_Sebastes-rastrelliger,Sebastes rastrelliger,I,35,"Wourms, J.P., 1991. Reproduction and development of Sebastes in the context of the evolution of piscine viviparity. Environmental Biology of Fishes, 30, pp.111-126.",FALSE,NA,,I,102,Reproduction and development of Sebastes in the context of the evolution of piscine viviparity,P,140,,TRUE,167,DOI: 10.1007/BF02296882,S,135,198,"3-6 months of larval stage and planktonic juvenile stage for rockfishes in general: Love, M.S., Yoklavich, M. and Thorsteinson, L.K., 2002. The rockfishes of the northeast Pacific. Univ of California Press.",56,56,10.1594/PANGAEA.900866,NA,285,viviparous
PRJNA451040_Sebastes-ruberrimus,Sebastes ruberrimus,I,35,"Wourms, J.P., 1991. Reproduction and development of Sebastes in the context of the evolution of piscine viviparity. Environmental Biology of Fishes, 30, pp.111-126.",FALSE,54,10.1007/978-94-011-3792-8_5,I,103,Reproduction and development of Sebastes in the context of the evolution of piscine viviparity,P,141,,TRUE,167,DOI: 10.1007/BF02296882,S,135,198,"3-6 months of larval stage and planktonic juvenile stage for rockfishes in general: Love, M.S., Yoklavich, M. and Thorsteinson, L.K., 2002. The rockfishes of the northeast Pacific. Univ of California Press.",104,104,10.1594/PANGAEA.900866,NA,285,viviparous
PRJNA359404_Sebastiscus-marmoratus,Sebastiscus marmoratus,I,35,"Wourms, J.P., 1991. Reproduction and development of Sebastes in the context of the evolution of piscine viviparity. Environmental Biology of Fishes, 30, pp.111-126.",FALSE,54,10.1007/978-94-011-3792-8_5,I,103,Reproduction and development of Sebastes in the context of the evolution of piscine viviparity,P,140,,TRUE,54,https://doi.org/10.1007/978-94-011-3792-8_5,S,135,199,"3-6 months of larval stage and planktonic juvenile stage for rockfishes in general: Love, M.S., Yoklavich, M. and Thorsteinson, L.K., 2002. The rockfishes of the northeast Pacific. Univ of California Press.",36,36,10.1111/j.1439-0426.2012.01956.x,NA,284,viviparous
PRJNA319656_Seriola-lalandi-dorsalis,Seriola dorsalis,I,36,10.1016/j.aquaculture.2006.10.005,FALSE,NA,,F,36,10.1016/j.aquaculture.2006.10.005,P,36,,TRUE,36,10.1016/j.aquaculture.2006.10.005,N,0,36,10.1016/j.aquaculture.2006.10.005,250,250,Fishbase 2000,1.4,36,10.1016/j.aquaculture.2006.10.005
PRJNA385011_Siphamia-tubifer,Siphamia tubifer,I,37,"10.1111/jfb.13063,",FALSE,NA,,I,37,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jfb.13063?casa_token=be7DBbC2IkwAAAAA:LOkU1RKQKSYWRdgjfsL1lfel70wAwAOPIxB4QOZ-hTi59t92OOALP7RwHjvyw7RNhw5PNu7UeHRWokA,P,37,,TRUE,37,doi: 10.1111/jfb.13063,S,30,200,https://doi.org/10.3389/fmicb.2019.02670,4.35,4.35,10.1111/jfb.13063,0.76,37,10.1111/jfb.13063
PRJNA286089_Sphyrna-tiburo,Sphyrna tiburo,I,20,Fishbase 2000,TRUE,55,10.1016/j.jembe.2014.05.006,I,104,Fishbase 2000,N,142,,FALSE,168,Fishbase 2000,N,0,NA,,150,150,10.1594/PANGAEA.900866,NA,284,viviparous
PRJNA448430_Stegastes-beebei,Stegastes beebei,I,NA,,FALSE,NA,,N,105, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,143,,TRUE,157, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,31.2,201,Planktonic larval duration of one hundred species of Pacific and Atlantic damselfishes (Pomacentridae).,15,15,Fishbase 2000,NA,286,NA
PRJNA448430_Stegastes-leucorus,Stegastes leucorus,I,NA,,FALSE,NA,,N,105, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,143,,TRUE,157, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,31.7,202,Microstructure of the settlement marks in the otoliths of tropical reef fishes,14,14,Fishbase 2000,NA,286,NA
PRJNA361144_Stephanocoenia-intersepta,Stephanocoenia intersepta,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,I,106,Release of eggs from tentacles in a Caribbean coral,L,128,,TRUE,169,https://www.sealifebase.ca/summary/Stephanocoenia-intersepta.html,S,NA,NA,,60,60,10.1007/s00338-009-0548-y,0.32,287,10.1155/2012/370247
PRJNA553831_Systellaspis-debilis,Systellaspis debilis,I,38,10.7717/peerj.7334,FALSE,NA,,I,38,10.7717/peerj.7334,L,38,,TRUE,38,10.7717/peerj.7334,N,28,38,10.7717/peerj.7334,1.5,1.5,10.3354/meps012175,3.6,38,10.7717/peerj.7334
PRJNA564451_Uria-aalge,Uria aalge,I,39,10.2305/IUCN.UK.2018-2.RLTS.T22694841A132577296.en,TRUE,56,10.1525/auk.2008.07007,N,98,NA,N,56,,FALSE,NA,,S,0,NA,,45,45,https://en.wikipedia.org/wiki/Common_murre,80,MJUa6aud?,https://en.wikipedia.org/wiki/Common_murre
PRJNA564451_Uria-lomvia,Uria lomvia,I,39,10.2305/IUCN.UK.2018-2.RLTS.T22694841A132577296.en,TRUE,57,https://en.wikipedia.org/wiki/Thick-billed_murre,N,98,NA,N,CnOPux8t?,,FALSE,NA,,S,0,NA,,48,48,10.2305/IUCN.UK.2018-2.RLTS.T22694841A132577296.en,80,NZDtF1Ee?,https://en.wikipedia.org/wiki/Thick-billed_murre
PRJNA573759_Vampyroteuthis-infernalis,Vampyroteuthis infernalis,I,10,10.1016/j.cub.2015.02.018,FALSE,NA,,I,107,https://animaldiversity.org/accounts/Vampyroteuthis_infernalis/,P,YGzeqwxu?,,TRUE,NA,,N,0,"203, 204","Young, R.E. and M. Vecchione. 1999. Morphological observations on a hatchling and a paralarva of the vampire squid, Vampyroteuthis infernalis Chun (Mollusca: Cephalopoda). Proc. Biol. Soc. Wash. 112:661-666. | Pickford, G.E. 1949. The distribution of the eggs of Vampyroteuthis infernalis Chun. J. Mar. Res. 8: 73-83.",20,20,10.1016/j.cub.2015.02.018 | doi.org/10.1038/s41598-019-55719-1,3.5,sF87wzgk?,https://animaldiversity.org/accounts/Vampyroteuthis_infernalis/
PRJNA348572_Zalophus-wollebaeki,Zalophus wollebaeki,I,40,10.2305/IUCN.UK.2015-2.RLTS.T41668A45230540.en,TRUE,40,10.2305/IUCN.UK.2015-2.RLTS.T41668A45230540.en,I,108,NA,N,40,,FALSE,NA,,S,0,NA,,250,250,10.2305/IUCN.UK.2015-2.RLTS.T41668A45230540.en,NA,40,10.2305/IUCN.UK.2015-2.RLTS.T41668A45230540.en
PRJNA449377_Zebrasoma-flavescens,Zebrasoma flavescens,I,41,10.1111/j.1095-8649.2010.02569.x,FALSE,NA,,F,105, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,144,,TRUE,170, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,70,205,https://doi.org/10.1111/jwas.12496,20,20,Fishbase 2000,0.75,288,"Bushnell, M., 2007. Reproduction of Zebrasoma flavescens: oocyte maturation, spawning patterns, and an estimate of reproductive potential for female yellow tang in Hawai_i (Doctoral dissertation)."
PRJNA449377_Zebrasoma-scopas,Zebrasoma scopas,I,NA,,FALSE,NA,,F,109, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,145,,TRUE,170, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,60,206,DOI: 10.1007/s002270050522.,40,40,Fishbase 2000,0.63,289,10.1134/S0032945208080122
PRJDB7819_Zenarchopterus-dunckeri,Zenarchopterus dunckeri,I,NA,,FALSE,NA,,I,110,"Nelson, J.S., Grande, T.C. and Wilson, M.V., 2016. Fishes of the World. John Wiley & Sons.",N,146,,TRUE,171,"Nelson, J.S., Grande, T.C. and Wilson, M.V., 2016. Fishes of the World. John Wiley & Sons.",S,NA,207,"Nelson, J.S., Grande, T.C. and Wilson, M.V., 2016. Fishes of the World. John Wiley & Sons.",14,14,Fishbase 2000,2,290,"Collette, B.B., 2016. Hemiramphidae, halfbeaks. The living marine resources of the Eastern Central Atlantic. Volume 3: Bony fishes part 1 (Elopiformes to Scorpaeniformes)."
